track_id,track_name,artists,album_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,mood
spotify:track:03h8FWrmff9k33FbBzfkRp,Swan Lake,Pyotr Tchaikovsky,Swan Lake Ballet,45.0,0.2570000000000001,0.469,5.0,-11.888625,0.0,0.038,0.494125,0.1365,0.092,0.142,98.263,4.0,classical,relaxed
spotify:track:x9LbYvcVjgmoaOnMnj4qMl,Dakiti,"Bad Bunny, Jhay Cortez",El Último Tour Del Mundo,71.0,0.82,0.676,2.0,-4.438,0.0,0.12,0.182,0.027,0.163,0.624,91.235,4.0,latin,happy
spotify:track:l3tlBOp1kBvyjvKgbR9by8,Mood,"24kGoldn, iann dior",El Dorado,71.0,0.691,0.643,8.0,-7.035,0.0,0.067,0.184,0.1365,0.13,0.544,100.23,4.0,pop,
spotify:track:plqkwKcj5FSWXEaiSIrRgg,Distant Dream,Drew Rivers,The Dream Collection,85.0,0.769,0.72,5.0,-3.868,1.0,0.114,0.139,0.014,0.172,0.844,119.183,4.0,pop,happy
spotify:track:xgJ3I5TYm0kffeidBUGZT3,Midnight Rain,Taylor Swift,Midnights,74.0,0.812,0.72,7.0,-4.066,0.0,0.117,0.211,0.03,0.163,0.669,108.277,4.0,pop,happy
spotify:track:3dI6APiT5m7DZIyvy6PwoY,Seven Nation Army,The White Stripes,Elephant,67.0,0.368,0.892,2.0,-6.343,0.0,0.084,0.033,0.03,0.333,0.332,157.801,4.0,rock,energetic
spotify:track:cNzHeAVzDI2wf7i7sIta4S,Golden Storm,Taylor Cross,Your Storm EP,79.0,0.758,0.848,2.0,-4.821,0.0,0.152,0.071,0.035,-0.0471249999999999,0.702,102.606,4.0,hiphop,motivational
spotify:track:T5NB63wB95aWKOeDlDs7a1,Symphony No. 5,Ludwig van Beethoven,Beethoven Symphonies,45.0,0.2570000000000001,0.33212499999999984,10.0,-11.888625,0.0,0.057,0.494125,0.1365,0.226,0.176,79.698,4.0,classical,relaxed
spotify:track:iq0RR7LlfSZP0gnMthh9Sk,Fire and Rain,James Taylor,Sweet Baby James,45.0,0.258,0.33212499999999984,1.0,-10.045,0.0,0.066,0.494125,0.001,0.34,0.254,113.759,4.0,folk,sad
spotify:track:VlNtHch6JNj9wDyw8NNBva,Gold Rush,Tre Vibe,All Gold Everything EP,73.0,0.718,0.608,4.0,-8.428,0.0,0.199,0.073,0.017,0.093,0.364,83.217,12.45,hiphop,motivational
spotify:track:Pl9x8fGlU5Jc7ACp191EZQ,Distant Soul,Jordan Banks,Soul,78.0,0.917,0.6835,6.0,-8.581,1.0,0.199,0.126,0.029,0.058,1.02225,99.833,4.0,hiphop,energetic
spotify:track:NCAIZMx2aj9N9KCtwN4KpH,Rising Storm,Taylor Woods,Our Storm EP,70.0,0.634,0.69,11.0,-3.114,1.0,0.05,0.136,0.079,0.25,0.5605,153.35,4.0,rock,energetic
spotify:track:Kzqj4kStjEDvVyZ11OolAw,Dark Heart,Morgan Cole,The Heart Diaries,76.0,0.712,0.552,8.0,-7.697,0.0,0.096,0.494125,0.022,0.169,0.5605,106.04,4.0,pop,happy
spotify:track:FlUXSYF348jKXISeDaaeEP,Electric River,Skylar Ray,River Collection,75.0,0.609,0.537,10.0,-6.007,0.0,0.086,0.285,0.016,0.117,0.537,142.441,4.0,pop,happy
spotify:track:S90GXWSrBzYA1w84uz3wOx,Glass Animals - Heat Waves,Glass Animals,Dreamland,73.0,0.616,0.567,0.0,-3.395,1.0,0.091,0.065,0.005,0.175,0.513,132.779,4.0,,happy
spotify:track:L64ZOtItkKWoC2PhD9poBq,Dark Storm,Riley Stone,Storm Diaries,77.0,0.692,0.554,2.0,-6.193,1.0,0.09,0.239,0.013,0.171,0.713,126.516,12.331,pop,happy
spotify:track:qTUnC6gPnM31NHnUKRHwAC,Lost River,Jamie Banks,River Chronicles,82.0,0.661,0.531,10.0,-4.288,0.0,0.114,0.349,0.031,0.062,0.471,99.57,4.0,pop,happy
spotify:track:IssGlL5YcwsGZ5zkvbo7Ie,Broken River,Alex Cole,Your River Collection,81.0,0.695,0.678,5.0,-4.529,1.0,0.079,0.062,0.019,0.17,0.815,103.86,4.0,pop,happy
spotify:track:eYpxs058h4kpFa1LQUcU2R,Leave The Door Open,"Bruno Mars, Anderson Paak",An Evening with Silk Sonic,74.0,0.835,0.648,10.0,-3.506,0.0,0.079,0.334,0.011,0.064,0.776,118.515,4.0,pop,
spotify:track:xj9AsyEHLCVoPSldHEPhet,Neon Shadow,Chris Ray,Our Shadow Diaries,84.0,0.861,0.647,11.0,-7.127,1.0,0.199,0.08,0.002,0.23,0.594,90.805,4.0,hiphop,energetic
spotify:track:SzE9oBZXdnrF0nU8834O3q,City Lights,The Neons,Downtown EP,82.0,0.72,0.595,0.0,-6.318,0.0,0.079,0.237,0.009,0.22,0.816,129.221,4.0,pop,happy
spotify:track:yHe9ZVza8U5cXiKbRoqnr6,On Sight,Remy Blaze,Street Gospel,76.0,0.895,0.583,9.0,-8.373,0.0,0.105,0.141,0.004,0.2,0.339,100.117,4.0,hiphop,motivational
spotify:track:TvefeTB6f7NVDe2odh0a2t,Creepin,"Metro Boomin, The Weeknd",Heroes & Villains,66.0,0.779,0.628,4.0,-6.832,0.0,0.08,-0.182875,0.025,0.203,0.58,123.514,4.0,pop,energetic
spotify:track:scPyYlj6amy1oznvupv0Fg,King of Anything,Sara Bareilles,Kaleidoscope Heart,62.0,0.398,0.64,4.0,-7.45,0.0,0.039,0.383,0.029,0.248,0.561,125.023,5.0,indie,energetic
spotify:track:obIuA2rGRIaUBp678HeeqH,Nonstop,Drake,Scorpion,73.0,0.853,0.808,2.0,-3.807,0.0,0.199,0.028,0.038,0.209,0.48,96.78,4.0,hiphop,motivational
spotify:track:8kdXHLWxD0RiQw5qM3jAUm,Crystal Wave,Riley Cross,A Wave Chronicles,68.0,0.516,0.8,6.0,-2.955,0.0,0.039,0.139,0.048,0.163,0.42,133.157,4.0,rock,energetic
spotify:track:4Mm2SqJD3dAXhq3GvNJGOy,Rockabye,"Clean Bandit, Sean Paul, Anne-Marie",Rather Be,64.0,0.685,0.6835,7.0,-1.3,0.0,0.095,0.072,0.1365,0.198,0.6,136.283,4.0,electronic,happy
spotify:track:H4PhvHSSNtjNS5nzCcmeWm,Mob Ties,Drake,Scorpion,85.0,0.739,0.667,8.0,-11.888625,0.0,0.199,0.024,0.03,0.067,0.302,101.706,4.0,hiphop,motivational
spotify:track:Z5x0pNcrCD2J9HsRUTOdZ5,Rising Star,Casey Banks,Star Diaries,64.0,0.672,0.673,4.0,-7.061,1.0,0.041,0.139,0.1365,0.306,0.513,102.03,4.0,rock,motivational
spotify:track:AGA81MoobmwLScdBKJr7d1,Fading Dream,Chris Chase,Dream EP,70.0,0.565,0.503,4.0,-2.123,0.0,0.106,0.263,0.03,0.163,0.684,130.655,4.0,pop,happy
spotify:track:Y0L0Oc8IWs9QX5R97okP36,Despacito,"Luis Fonsi, Daddy Yankee",Vida,80.0,0.87,0.649,3.0,-5.677,0.0,0.046,0.179,0.018,0.204,0.627,102.358,5.0,latin,happy
spotify:track:FkkaKC7Op2x2IWgEccBkAb,Paranoid,Black Sabbath,Paranoid,45.0,0.2570000000000001,0.865,9.0,-2.797,0.0,0.054,0.043,0.1365,0.107,0.5605,169.959,3.0,metal,angry
spotify:track:nZVoUkr0bSIwKQe8vCVcK5,Distant Soul,Morgan Blake,A Soul,88.0,0.758,0.733,8.0,-7.753,0.0,0.058,0.062,0.013,0.087,0.469,106.895,4.0,pop,energetic
spotify:track:5jekciyK7EGyvXeoFy34nA,Midnight Star,Sam Ray,Star Diaries,75.0,0.667,0.702,6.0,-6.1,1.0,0.081,0.321,0.015,0.239,0.488,129.076,5.0,pop,happy
spotify:track:MGSpsZtpowhBi36TrI1XkD,No Air,"Jordan Sparks, Chris Brown",Jordan Sparks,68.0,0.816,0.648,3.0,-5.677,1.0,0.08,0.213,0.019,0.058,0.591,118.753,3.0,rnb,motivational
spotify:track:aZUbKy5T1ebhBb7v7LflaP,Summertime,"Ella Fitzgerald, Louis Armstrong",Porgy and Bess,45.0,0.574,0.33212499999999984,1.0,-11.888625,1.0,0.074,0.494125,0.1365,0.165,0.482,105.501,4.0,jazz,chill
spotify:track:uNwEngMwV7oJGPKJvE6mci,Heartbreak Anniversary,Giveon,When It's All Said and Done,80.0,0.724,0.738,7.0,-2.081,1.0,0.059,0.34,0.016,0.138,0.797,127.15,4.0,pop,happy
spotify:track:DJJyhd5nB0xaywYKmdkr8u,Levels,Avicii,True,65.0,0.867,0.93,3.0,-4.253,0.0,0.053,0.03,0.1365,0.055,0.701,133.051,4.0,electronic,motivational
spotify:track:ywlsLbz1bLKEDP3dgeGe3U,Moonlight Sonata,Ludwig van Beethoven,Piano Sonatas,45.0,0.274,0.351,6.0,-11.888625,0.0,0.054,0.494125,0.03,0.3658749999999999,0.649,77.012,4.0,classical,relaxed
spotify:track:UHOie9wvvi302lGD6x7u8w,Fading Night,Jordan Cole,The Night Collection,88.0,0.582,0.72,1.0,-7.058,0.0,0.056,0.166,0.025,0.197,0.792,140.549,4.0,pop,energetic
spotify:track:Mfld0trgi9dX7chhp1qxQe,Lavender Haze,Taylor Swift,Midnights,82.0,0.837,0.598,7.0,-2.106,1.0,0.099,0.253,0.035,0.148,0.534,142.074,4.0,pop,
spotify:track:8Ql5InaxxzD9Xj972UhRUE,Don't Stop Believin',Journey,Escape,60.0,0.326,0.632,10.0,-7.051,0.0,0.061,0.172,0.086,0.191,0.551,106.74,4.0,rock,angry
spotify:track:EglRSl1Tcv1g26nmDWnQ3b,Breathe (2 AM),Anna Nalick,Wreck of the Day,51.0,0.548,0.495,2.0,-4.917,1.0,0.074,0.481,0.041,0.1,0.326,141.861,3.0,indie,sad
spotify:track:ZG7mBEHbec4CuQOviyirrr,Air on the G String,Johann Sebastian Bach,Orchestral Suites,45.0,0.272,0.33212499999999984,9.0,-11.888625,1.0,0.035,0.494125,0.1365,0.077,0.501,109.541,4.0,classical,relaxed
spotify:track:yBiRJ3oFX7lmOOJ84UhMIh,Lost Dream,Sam Chase,Dream Chronicles,87.0,0.679,0.818,2.0,-4.611,1.0,0.044,0.042,0.027,0.194,0.747,127.812,4.0,,
spotify:track:LNTj6V65VMnYJSDLMob2EP,Fluorescent Adolescent,Arctic Monkeys,Suck It and See,67.0,0.485,0.795,6.0,-7.66,1.0,0.071,0.088,0.08,0.236,0.365,157.851,4.0,rock,
spotify:track:r2LJyBCh76yTSVLg3el956,Use Somebody,Kings of Leon,Only by the Night,81.0,0.625,0.792,7.0,-7.302,0.0,0.063,0.074,0.055,0.122,0.475,126.876,4.0,rock,energetic
spotify:track:mYrbpNnH3eLU6Pq5YhRjGH,R U Mine?,Arctic Monkeys,AM,71.0,0.588,0.909,3.0,-5.012,0.0,0.038,0.199,0.07,0.083,0.728,133.285,4.0,rock,happy
spotify:track:aKqzcFqG1xATjXce7YvSQn,Fading Night,Jamie Cole,Our Night EP,80.0,0.672,0.829,0.0,-7.748,1.0,0.199,0.116,0.035,0.163,0.737,78.35,5.0,hiphop,motivational
spotify:track:NqJRu0zCTfqQ0jnNS7DyJs,Big Rings,"Drake, Future",What a Time,73.0,0.879,0.858,10.0,-2.538,0.0,0.199,0.13,0.029,0.11,0.401,113.759,5.0,hiphop,motivational
spotify:track:z1q4JJqyOm3lKR0qzwNVIa,Taki Taki,"DJ Snake, Selena Gomez, Ozuna, Cardi B",Carte Blanche,72.0,0.674,0.666,7.0,-2.463,0.0,0.101,0.149,0.041,0.128,0.514,105.884,4.0,latin,happy
spotify:track:TlYrc07HXmBCAGUqbKL3W3,Golden Shadow,Quinn Rivers,Our Shadow Sessions,77.0,0.68,0.33212499999999984,7.0,-4.711,0.0,0.199,0.048,0.007,0.078,0.334,84.88,4.0,hiphop,motivational
spotify:track:8lJiCKU21KIvDTt7RL37Av,Golden Storm,Jamie Ray,Storm Sessions,77.0,0.732,0.673,4.0,-5.278,0.0,0.07,0.218,0.0,0.226,0.498,127.974,3.0,pop,happy
spotify:track:00XFkFoFJ3pkxla4JtY6p0,So What,Miles Davis,Kind of Blue,45.0,0.533,0.33212499999999984,5.0,-8.726,1.0,0.048,0.494125,0.1365,0.21,0.319,103.371,3.0,jazz,chill
spotify:track:EOGRnWWMQ6olKtKX9niq0w,Levitating,Dua Lipa,Future Nostalgia,75.0,0.619,0.511,6.0,-5.677,1.0,0.115,0.309,0.016,0.181,0.542,177.28012499999997,4.0,pop,happy
spotify:track:jrAw7Ze9J2Ol74sZvnsxXA,Wild Night,Casey Cross,A Night Chronicles,62.0,0.416,0.831,6.0,-4.815,1.0,0.083,0.199,0.092,0.234,0.631,113.759,4.0,rock,motivational
spotify:track:NuNVQqRDVegHsqhSmx6y6E,Fire Shadow,Jamie Stone,The Shadow EP,83.0,0.819,0.601,10.0,-6.344,0.0,0.093,0.184,0.044,0.154,0.83,100.468,4.0,,happy
spotify:track:e2MLcKZvsdG1zBKEfgYaHr,Electric River,Morgan Stone,Our River Diaries,78.0,0.81,0.6835,6.0,-3.829,1.0,0.199,0.073,0.016,0.14,0.747,76.357,4.0,hiphop,motivational
spotify:track:2yS8YVuu1CZOpVqS74BFXZ,Intro,M83,"Hurry Up, We're Dreaming",74.0,1.057,0.737,8.0,-3.969,0.0,0.094,0.062,0.1365,0.105,0.609,139.997,4.0,electronic,motivational
spotify:track:Eo46nRmbuqlV9c5JhWInK7,Desert Nights,Iron Wolves,Blood and Thunder,73.0,0.672,0.909,3.0,-3.167,1.0,0.079,0.097,0.107,0.212,0.466,101.256,4.0,rock,motivational
spotify:track:IrBkpCKRwmDoAYQ0o1B1oO,Dark Soul,Quinn Stone,Our Soul EP,76.0,0.81,0.686,5.0,-5.252,1.0,0.113,0.027,0.012,0.156,0.484,120.033,4.0,pop,energetic
spotify:track:KqiCVnXgrZSLhON1IcDZZg,Daydream,Jessa Cole,Floating,74.0,0.667,0.589,6.0,-5.301,0.0,0.063,0.197,0.041,0.06,0.549,98.954,4.0,pop,happy
spotify:track:5DgOvdOVkXuCi8nWQfTHiu,Fly Me to the Moon,Frank Sinatra,It Might as Well Be Swing,45.0,0.476,0.551,5.0,-5.65,1.0,0.033,0.494125,0.1365,0.171,0.463,135.194,4.0,jazz,chill
spotify:track:4Ztk9yVsqnd6WSKoiSdtsi,Fire Sky,Skylar Lane,The Sky Chronicles,86.0,0.657,0.76,6.0,-6.012,0.0,0.053,0.117,0.043,0.144,0.538,134.405,4.0,pop,energetic
spotify:track:9v5dUaW39y6pXDWUGcrs3I,Bad and Boujee,"Migos, Lil Uzi Vert",Culture,82.0,0.813,0.837,6.0,-3.295,1.0,0.199,0.097,0.026,0.145,0.426,95.978,4.0,hiphop,energetic
spotify:track:qIs9f9lgvbISm6CsqO9l7j,Paper Route,Luca Drip,Stacks & Dreams,78.0,0.918,0.582,7.0,-6.833,1.0,0.199,0.122,0.036,0.15,0.307,97.99,4.0,hiphop,energetic
spotify:track:zMSvcFkxHDth1iYosyDL2x,Don't You Worry Child,Swedish House Mafia,Until One,74.0,0.677,0.665,6.0,-6.555,1.0,0.068,0.007,0.1365,0.064,0.736,132.679,4.0,electronic,happy
spotify:track:tBstrXryhvlVzIbTfj7VNQ,The Night Will Always Win,Manchester Orchestra,Hope,45.0,0.381,0.455,2.0,-7.361,1.0,0.071,0.494125,0.067,0.246,0.594,119.29,4.0,folk,???
spotify:track:ojEe9FugSubcJkmjZvuRu9,Dark Shadow,Casey Blake,Your Shadow Collection,76.0,0.906,0.591,6.0,-8.226,1.0,0.187,0.131,0.031,0.247,0.478,81.339,4.0,hiphop,motivational
spotify:track:F8yo9ALI8WqzWjC3UCk9my,Electric Night,Sam Voss,Your Night Sessions,63.0,0.394,0.702,11.0,-4.324,0.0,0.038,0.098,0.128,0.097,0.5605,104.301,4.0,rock,happy
